id,requirement_id,technique,priority,inputs,preconditions,steps,expected_result,tags
REQ-006-STT-AT-007,REQ-006,STT,High,"{""transition"": ""Registered --fifthFailedAttempt--> Locked""}",,初始状态:Guest | Guest --register--> Registered | Registered --fifthFailedAttempt--> Locked,系统应执行:重置密码成功、解锁账户。,"STT,all_transitions,fifthFailedAttempt"
REQ-006-STT-AT-008,REQ-006,STT,High,"{""transition"": ""Locked --resetPassword--> Registered""}",,初始状态:Guest | Guest --register--> Registered | Registered --fifthFailedAttempt--> Locked | Locked --resetPassword--> Registered,系统应执行:重置密码成功、解锁账户。,"STT,all_transitions,resetPassword"
REQ-001-BVA-002,REQ-001,BVA,Medium,"{""age"": 18}",,提交 age=18,系统应执行:通过注册校验、拒绝注册。,"BVA,age"
REQ-001-BVA-003,REQ-001,BVA,Medium,"{""age"": 19}",,提交 age=19,系统应执行:通过注册校验、拒绝注册。,"BVA,age"
REQ-001-BVA-004,REQ-001,BVA,Medium,"{""age"": 119}",,提交 age=119,系统应执行:通过注册校验、拒绝注册。,"BVA,age"
REQ-001-BVA-005,REQ-001,BVA,Medium,"{""age"": 120}",,提交 age=120,系统应执行:通过注册校验、拒绝注册。,"BVA,age"
REQ-001-BVA-006,REQ-001,BVA,Medium,"{""age"": 121}",,提交 age=121,系统应拒绝该输入:age 高于上限(120)。,"BVA,age"
REQ-001-DT-001,REQ-001,DT,Medium,"{""年龄在 18-120 之间"": false}",,给定条件组合 {'年龄在 18-120 之间': False},系统应执行:通过注册校验、拒绝注册。,DT
REQ-001-DT-002,REQ-001,DT,Medium,"{""年龄在 18-120 之间"": true}",,给定条件组合 {'年龄在 18-120 之间': True},系统应执行:通过注册校验、拒绝注册。,"DT,年龄在 18-120 之间"
REQ-001-EP-001,REQ-001,EP,Medium,"{""age"": 17}",,提交 age=17,系统应拒绝该输入:age 低于下限(18)。,"EP,age,below_min"
REQ-001-EP-002,REQ-001,EP,Medium,"{""age"": 69}",,提交 age=69,系统应执行:通过注册校验、拒绝注册。,"EP,age,valid"
REQ-001-EP-003,REQ-001,EP,Medium,"{""age"": 121}",,提交 age=121,系统应拒绝该输入:age 高于上限(120)。,"EP,age,above_max"
REQ-002-BVA-002,REQ-002,BVA,Medium,"{""password"": ""xxxxxxxx""}",,提交 password='xxxxxxxx',系统应执行:通过密码校验、拒绝密码。,"BVA,password"
REQ-002-BVA-003,REQ-002,BVA,Medium,"{""password"": ""xxxxxxxxx""}",,提交 password='xxxxxxxxx',系统应执行:通过密码校验、拒绝密码。,"BVA,password"
REQ-002-BVA-004,REQ-002,BVA,Medium,"{""password"": ""xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""}",,提交 password='xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx',系统应执行:通过密码校验、拒绝密码。,"BVA,password"
REQ-002-BVA-005,REQ-002,BVA,Medium,"{""password"": ""xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""}",,提交 password='xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx',系统应执行:通过密码校验、拒绝密码。,"BVA,password"
REQ-002-BVA-006,REQ-002,BVA,Medium,"{""password"": ""xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""}",,提交 password='xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx',系统应执行:通过密码校验、拒绝密码。,"BVA,password"
REQ-002-DT-001,REQ-002,DT,Medium,"{""密码长度 8-32"": false, ""密码包含数字"": false, ""密码包含字母"": false}",,"给定条件组合 {'密码长度 8-32': False, '密码包含数字': False, '密码包含字母': False}",系统应执行:通过密码校验、拒绝密码。,DT
REQ-002-DT-002,REQ-002,DT,Medium,"{""密码长度 8-32"": false, ""密码包含数字"": false, ""密码包含字母"": true}",,"给定条件组合 {'密码长度 8-32': False, '密码包含数字': False, '密码包含字母': True}",系统应执行:通过密码校验、拒绝密码。,"DT,密码包含字母"
REQ-002-DT-003,REQ-002,DT,Medium,"{""密码长度 8-32"": false, ""密码包含数字"": true, ""密码包含字母"": false}",,"给定条件组合 {'密码长度 8-32': False, '密码包含数字': True, '密码包含字母': False}",系统应执行:通过密码校验、拒绝密码。,"DT,密码包含数字"
REQ-002-DT-004,REQ-002,DT,Medium,"{""密码长度 8-32"": false, ""密码包含数字"": true, ""密码包含字母"": true}",,"给定条件组合 {'密码长度 8-32': False, '密码包含数字': True, '密码包含字母': True}",系统应执行:通过密码校验、拒绝密码。,"DT,密码包含数字,密码包含字母"
REQ-002-DT-005,REQ-002,DT,Medium,"{""密码长度 8-32"": true, ""密码包含数字"": false, ""密码包含字母"": false}",,"给定条件组合 {'密码长度 8-32': True, '密码包含数字': False, '密码包含字母': False}",系统应执行:通过密码校验、拒绝密码。,"DT,密码长度 8-32"
REQ-002-DT-006,REQ-002,DT,Medium,"{""密码长度 8-32"": true, ""密码包含数字"": false, ""密码包含字母"": true}",,"给定条件组合 {'密码长度 8-32': True, '密码包含数字': False, '密码包含字母': True}",系统应执行:通过密码校验、拒绝密码。,"DT,密码长度 8-32,密码包含字母"
REQ-002-DT-007,REQ-002,DT,Medium,"{""密码长度 8-32"": true, ""密码包含数字"": true, ""密码包含字母"": false}",,"给定条件组合 {'密码长度 8-32': True, '密码包含数字': True, '密码包含字母': False}",系统应执行:通过密码校验、拒绝密码。,"DT,密码长度 8-32,密码包含数字"
REQ-002-DT-008,REQ-002,DT,Medium,"{""密码长度 8-32"": true, ""密码包含数字"": true, ""密码包含字母"": true}",,"给定条件组合 {'密码长度 8-32': True, '密码包含数字': True, '密码包含字母': True}",系统应执行:通过密码校验、拒绝密码。,"DT,密码长度 8-32,密码包含数字,密码包含字母"
REQ-002-EP-001,REQ-002,EP,Medium,"{""password"": """"}",,提交 password='',系统应执行:通过密码校验、拒绝密码。,"EP,password,empty"
REQ-002-EP-002,REQ-002,EP,Medium,"{""password"": ""valid_value""}",,提交 password='valid_value',系统应执行:通过密码校验、拒绝密码。,"EP,password,normal"
REQ-002-EP-003,REQ-002,EP,Medium,"{""password"": ""xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""}",,提交 password='xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx',系统应执行:通过密码校验、拒绝密码。,"EP,password,too_long"
REQ-003-DT-002,REQ-003,DT,Medium,"{""邮箱包含 @"": false, ""邮箱包含 ."": true}",,"给定条件组合 {'邮箱包含 @': False, '邮箱包含 .': True}",系统应执行:通过邮箱校验、拒绝邮箱。,"DT,邮箱包含 ."
REQ-003-DT-003,REQ-003,DT,Medium,"{""邮箱包含 @"": true, ""邮箱包含 ."": false}",,"给定条件组合 {'邮箱包含 @': True, '邮箱包含 .': False}",系统应执行:通过邮箱校验、拒绝邮箱。,"DT,邮箱包含 @"
REQ-003-DT-004,REQ-003,DT,Medium,"{""邮箱包含 @"": true, ""邮箱包含 ."": true}",,"给定条件组合 {'邮箱包含 @': True, '邮箱包含 .': True}",系统应执行:通过邮箱校验、拒绝邮箱。,"DT,邮箱包含 @,邮箱包含 ."
REQ-003-EP-001,REQ-003,EP,Medium,"{""email"": """"}",,提交 email='',系统应执行:通过邮箱校验、拒绝邮箱。,"EP,email,empty"
REQ-003-EP-002,REQ-003,EP,Medium,"{""email"": ""valid_value""}",,提交 email='valid_value',系统应执行:通过邮箱校验、拒绝邮箱。,"EP,email,normal"
REQ-003-EP-003,REQ-003,EP,Medium,"{""email"": ""xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""}",,提交 email='xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx',系统应执行:通过邮箱校验、拒绝邮箱。,"EP,email,too_long"
REQ-004-BVA-002,REQ-004,BVA,Medium,"{""username"": ""xxx""}",,提交 username='xxx',系统应执行:通过用户名校验、拒绝用户名。,"BVA,username"
REQ-004-BVA-003,REQ-004,BVA,Medium,"{""username"": ""xxxx""}",,提交 username='xxxx',系统应执行:通过用户名校验、拒绝用户名。,"BVA,username"
REQ-004-BVA-004,REQ-004,BVA,Medium,"{""username"": ""xxxxxxxxxxxxxxxxxxx""}",,提交 username='xxxxxxxxxxxxxxxxxxx',系统应执行:通过用户名校验、拒绝用户名。,"BVA,username"
REQ-004-BVA-005,REQ-004,BVA,Medium,"{""username"": ""xxxxxxxxxxxxxxxxxxxx""}",,提交 username='xxxxxxxxxxxxxxxxxxxx',系统应执行:通过用户名校验、拒绝用户名。,"BVA,username"
REQ-004-BVA-006,REQ-004,BVA,Medium,"{""username"": ""xxxxxxxxxxxxxxxxxxxxx""}",,提交 username='xxxxxxxxxxxxxxxxxxxxx',系统应执行:通过用户名校验、拒绝用户名。,"BVA,username"
REQ-004-DT-001,REQ-004,DT,Medium,"{""用户名长度 3-20"": false, ""用户名唯一"": false}",,"给定条件组合 {'用户名长度 3-20': False, '用户名唯一': False}",系统应执行:通过用户名校验、拒绝用户名。,DT
REQ-004-DT-002,REQ-004,DT,Medium,"{""用户名长度 3-20"": false, ""用户名唯一"": true}",,"给定条件组合 {'用户名长度 3-20': False, '用户名唯一': True}",系统应执行:通过用户名校验、拒绝用户名。,"DT,用户名唯一"
REQ-004-DT-003,REQ-004,DT,Medium,"{""用户名长度 3-20"": true, ""用户名唯一"": false}",,"给定条件组合 {'用户名长度 3-20': True, '用户名唯一': False}",系统应执行:通过用户名校验、拒绝用户名。,"DT,用户名长度 3-20"
REQ-004-DT-004,REQ-004,DT,Medium,"{""用户名长度 3-20"": true, ""用户名唯一"": true}",,"给定条件组合 {'用户名长度 3-20': True, '用户名唯一': True}",系统应执行:通过用户名校验、拒绝用户名。,"DT,用户名长度 3-20,用户名唯一"
REQ-004-EP-001,REQ-004,EP,Medium,"{""username"": """"}",,提交 username='',系统应执行:通过用户名校验、拒绝用户名。,"EP,username,empty"
REQ-004-EP-002,REQ-004,EP,Medium,"{""username"": ""valid_value""}",,提交 username='valid_value',系统应执行:通过用户名校验、拒绝用户名。,"EP,username,normal"
REQ-004-EP-003,REQ-004,EP,Medium,"{""username"": ""xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""}",,提交 username='xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx',系统应执行:通过用户名校验、拒绝用户名。,"EP,username,too_long"
REQ-005-BVA-002,REQ-005,BVA,Medium,"{""failed_attempts"": 0}",,提交 failed_attempts=0,系统应执行:允许登录、锁定账户。,"BVA,failed_attempts"
REQ-005-BVA-003,REQ-005,BVA,Medium,"{""failed_attempts"": 1}",,提交 failed_attempts=1,系统应执行:允许登录、锁定账户。,"BVA,failed_attempts"
REQ-005-BVA-004,REQ-005,BVA,Medium,"{""failed_attempts"": 4}",,提交 failed_attempts=4,系统应执行:允许登录、锁定账户。,"BVA,failed_attempts"
REQ-005-BVA-005,REQ-005,BVA,Medium,"{""failed_attempts"": 5}",,提交 failed_attempts=5,系统应执行:允许登录、锁定账户。,"BVA,failed_attempts"
REQ-005-BVA-006,REQ-005,BVA,Medium,"{""failed_attempts"": 6}",,提交 failed_attempts=6,系统应拒绝该输入:failed_attempts 高于上限(5)。,"BVA,failed_attempts"
REQ-005-DT-001,REQ-005,DT,Medium,"{""连续失败次数 >= 5"": false}",,给定条件组合 {'连续失败次数 >= 5': False},系统应执行:允许登录、锁定账户。,DT
REQ-005-DT-002,REQ-005,DT,Medium,"{""连续失败次数 >= 5"": true}",,给定条件组合 {'连续失败次数 >= 5': True},系统应执行:允许登录、锁定账户。,"DT,连续失败次数 >= 5"
REQ-005-EP-001,REQ-005,EP,Medium,"{""failed_attempts"": -1}",,提交 failed_attempts=-1,系统应拒绝该输入:failed_attempts 低于下限(0)。,"EP,failed_attempts,below_min"
REQ-005-EP-002,REQ-005,EP,Medium,"{""failed_attempts"": 2}",,提交 failed_attempts=2,系统应执行:允许登录、锁定账户。,"EP,failed_attempts,valid"
REQ-005-EP-003,REQ-005,EP,Medium,"{""failed_attempts"": 6}",,提交 failed_attempts=6,系统应拒绝该输入:failed_attempts 高于上限(5)。,"EP,failed_attempts,above_max"
REQ-006-BVA-001,REQ-006,BVA,Medium,"{""new_password"": ""xxxxxxx""}",,提交 new_password='xxxxxxx',系统应执行:重置密码成功、解锁账户。,"BVA,new_password"
REQ-006-BVA-002,REQ-006,BVA,Medium,"{""new_password"": ""xxxxxxxx""}",,提交 new_password='xxxxxxxx',系统应执行:重置密码成功、解锁账户。,"BVA,new_password"
REQ-006-BVA-003,REQ-006,BVA,Medium,"{""new_password"": ""xxxxxxxxx""}",,提交 new_password='xxxxxxxxx',系统应执行:重置密码成功、解锁账户。,"BVA,new_password"
REQ-006-BVA-004,REQ-006,BVA,Medium,"{""new_password"": ""xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""}",,提交 new_password='xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx',系统应执行:重置密码成功、解锁账户。,"BVA,new_password"
